relative_path,bytes,sha256
.gitattributes,821,53a57c423556328e906465e0a18c8d3fbe1ac9d8d3cd267ab027244ede3045d5
outputs/cycle04/CANDIDATE_DELTA_FROM_R3l_NOT_BASELINE.md,3079,9be0a8bc9c653b7c9517f947b145947fcb82c9a1cf2106bcd088b361d329d5e2
outputs/cycle04/EDITORIAL_RECOMMENDATION.md,2467,02ab455d68e280c2961c05926d9b9942ab230320166124205dd441b69839f632
outputs/cycle04/KEEP_HOLD_REMOVE.md,2824,c5ff9505d1633982b3706662a762ddddda7ad2f072cb33195faa89344739e933
outputs/cycle04/LINEAGE_DECISION.md,1662,7453fce51c5b0a0da8e2a886d94617f3ad4a982e23ff280ec19c2b44f92e3e65
outputs/cycle04/LOCKED_RESULTS.json,3581,2c54b438a3d5b00be1526ec99f7e5374662afe8f3debb946d04bf2161c034242
outputs/cycle04/README.md,3407,f05514548a8274366ed09546892120553b01e87d78efef6287320680980c4b20
outputs/cycle04/SCIENTIFIC_CHANGELOG.md,1825,5ce3472643d77def4b807943b5e80c771fa7c251175b47008a197db08f66ccd1
outputs/cycle04/SUBMISSION_READINESS_MATRIX.csv,4105,80a87d872c8acf7cd42b2debca61d321979222a13f00d0a3b0ade00ba33ca07a
outputs/cycle04/baseline_search_manifest.csv,6622,42a1713c133e9e19dc56df9dc3b56e447727aa83de1506510333483120b55b49
outputs/cycle04/claim_evidence_traceability.csv,3338,f00367bac2e202fab13d3c1bf8b204ab4dee305d94aa2c25e876a230052127d7
outputs/cycle04/historical_anchor_extraction.json,1399,8208b0e31883bdcde35360a38d154c94a720b59a5d1be162a659fecabc54455f
outputs/cycle04/historical_manuscript_inventory.csv,2590,893093a1381bf21050226ac9aa908dddcbdf5616077deb6c04a6f61ee8816b3e
outputs/cycle04/qa_report.json,3426,2c056b8c0cd1b90273c23fddee46c5929b352c9bf7cd3d6258ee355f6e05e467
outputs/cycle04/reproducibility_gap_register.csv,2728,dcd04284cce0e6f109118d2a2ca0c3e4175dcc59e5db6e518025ff7d437a1f2b
outputs/cycle04/reproduction.md,3170,c29b3549c57b75aadbe6c73bb75a4081e7ccea83119dcb0b197a15222373dce5
outputs/cycle04/test_results.txt,575,ed8dcdc75f93270251f76c971f944475e18e967bad2cf5ec6c7f584fcc2eec44
requirements-cycle04.txt,106,bbe749e9ee4041fc88b03993741c82f3220a28a957178b2b844eb7a54dd8e219
scripts/build_cycle04_package.py,6654,5ead98007a163849af34c61d510c3559464dfa77046ad2058b3b0f6efe0054f0
scripts/validate_cycle04_submission_gate.py,49377,491a49ca807392eefd402136cf740747d96815f8871237f164ac5648f6eea1a8
tasks/CODEX_CYCLE_04_SUBMISSION_CANDIDATE_RECONSTRUCTION.md,3758,14df1c74f17a117223cec1cbc2fa08cebe140a54c968c608e0355186e57ce663
tests/test_cycle04_package_local.py,6954,3ed9387e76701bf7ea987f96ac73db0f2c40df97369cebbb7cf870d50b7b635c
